"Time [ms]","FluxLinkage(Winding1) [Wb] - coil_height='0.008meter' winding_num_r='15' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - coil_height='0.012meter' winding_num_r='15' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - coil_height='0.014meter' winding_num_r='5' winding_num_z='66'"
0,-1.32314972974345E-005,-2.57391706326868E-005,-1.42852756290002E-005
4,-1.40540444950966E-005,-2.72606635751844E-005,-1.52088103249079E-005
8,-1.49816492733064E-005,-2.91265425552817E-005,-1.62007743069043E-005
12,-1.59000171654155E-005,-3.10830720985513E-005,-1.72334179841687E-005
16,-1.68967152769177E-005,-3.32083835487194E-005,-1.84406526922144E-005
20,-1.81481657392918E-005,-3.54996618182081E-005,-1.973625411144E-005
24,-1.93068561657932E-005,-3.78591728260771E-005,-2.11362954022976E-005
28,-2.0665421898296E-005,-4.04874923536944E-005,-2.26584929084544E-005
32,-2.21483421956002E-005,-4.35674688953379E-005,-2.43077481962112E-005
36,-2.37619789073069E-005,-4.66997339864329E-005,-2.61108891525879E-005
40,-2.5526381449219E-005,-5.02011684340801E-005,-2.80266321247322E-005
44,-2.74591546765352E-005,-5.41335298029495E-005,-3.02360308912203E-005
48,-2.95961018277343E-005,-5.83310349438027E-005,-3.25731710351383E-005
52,-3.2080916832539E-005,-6.29441535693655E-005,-3.51693518136366E-005
56,-3.46299995577326E-005,-6.79942608832443E-005,-3.80181255712348E-005
60,-3.74627868112561E-005,-7.35498503285309E-005,-4.11300732126912E-005
64,-4.03487557778881E-005,-7.95954144463466E-005,-4.45828788986013E-005
68,-4.37869349484558E-005,-8.64715613222681E-005,-4.84412630327023E-005
72,-4.74754599664644E-005,-9.40570416331056E-005,-5.28310326747627E-005
76,-5.18052197029092E-005,-0.000102649049484972,-5.76559949899671E-005
80,-5.68996177854638E-005,-0.000111667700709286,-6.29983725777289E-005
84,-6.21699894222394E-005,-0.000122438743892936,-6.89971176379166E-005
88.0000000000001,-6.8108682461438E-005,-0.000134129724316465,-7.57224529325312E-005
92.0000000000001,-7.48211754826732E-005,-0.000147343690886805,-8.32973760358602E-005
96.0000000000001,-8.24321286201319E-005,-0.000162423496571691,-9.20696687545121E-005
100,-9.04898535050842E-005,-0.000179767548489645,-0.000101810392935924
104,-0.000100408485850505,-0.000198364385667869,-0.000113057017135154
108,-0.000110987570656214,-0.000221254395035959,-0.000125876417506501
112,-0.00012406735272194,-0.000245973910042367,-0.000140605447903428
116,-0.000139259640838741,-0.000276451995573696,-0.000157778871220771
120,-0.000155482718395283,-0.000310675951998583,-0.00017769718351439
124,-0.000174835122545463,-0.000350346022968725,-0.000200914143677334
128,-0.000196591962807947,-0.000397180755934376,-0.000228496315336309
132,-0.000224142390185488,-0.00045001117233774,-0.000260666789623958
136,-0.000254933581587581,-0.000516965368861953,-0.000299053624102384
140,-0.000292096708405368,-0.000592226187175199,-0.000346365156122082
144,-0.000336074692843778,-0.000683037078560251,-0.000402458196582417
148,-0.000389361930673125,-0.000794733940329826,-0.000469912180466154
152,-0.000455931663660158,-0.000937938541400723,-0.00055499662101553
156,-0.000538146157344245,-0.00111234892559022,-0.000661092341894457
160,-0.000638706569791451,-0.00132909969438707,-0.000795942425646098
164,-0.000765187017607922,-0.00159691422233406,-0.000967322466042841
168,-0.000923096455091392,-0.00193473674763064,-0.00119088807199182
172,-0.00112721465716256,-0.00237993634785225,-0.00148277181094202
176,-0.00138915697558754,-0.0029572326908128,-0.00187338962613041
180,-0.00173124540967091,-0.00371357284739267,-0.00240099947218303
184,-0.00218278651403965,-0.00473285496016322,-0.00311962410190217
188,-0.00278325252935684,-0.00604248006143324,-0.00409514484924605
192,-0.00358170214731814,-0.00776088371087395,-0.00536093539079927
196,-0.00463240179525488,-0.0098763215097276,-0.00686909190851571
200,-0.00595303988367125,-0.0122831006911471,-0.00852045326759061
204,-0.00748024465257165,-0.0148192953572368,-0.0101974686508745
208,-0.00908155540039803,-0.0172520392301015,-0.0117969600648831
212,-0.0105895789573579,-0.0194239788676231,-0.0131674662536321
216,-0.0117934463475202,-0.0211787469681366,-0.0142346277867629
220,-0.0125380592501112,-0.0223309782427256,-0.0148414495589728
224,-0.0126992004980575,-0.022573109865609,-0.0149889942560834
228,-0.0122126966482946,-0.0219022102706298,-0.0145967271484995
232,-0.0111917905372477,-0.0204361105291897,-0.0137305617134924
236,-0.00979427254543247,-0.0184131557374337,-0.0124735964850578
240,-0.00822503017142366,-0.016020460022602,-0.0109540918015257
244,-0.00664736685576968,-0.0134881309985817,-0.00929894491618297
248,-0.00522485809221438,-0.0110096348691321,-0.00761984312161605
252,-0.00404475891393731,-0.00873389402689944,-0.00603134078569032
256,-0.00313637847190825,-0.00681993419921895,-0.00464299507583511
260,-0.00244496838253328,-0.00530519306559777,-0.00353513166079533
264,-0.00192572850669338,-0.0041589194038754,-0.00270489543500797
268,-0.00153628238524493,-0.00329557022316477,-0.00209678582765473
272,-0.00123490810930724,-0.00264181391348343,-0.00165393714204538
276,-0.0010045719228773,-0.00213476790722115,-0.00131615735210068
280,-0.000824349371054406,-0.00174612856073415,-0.00106397936652951
284,-0.000686812908820288,-0.00144035271334359,-0.000870171422023918
288,-0.000580754438735261,-0.00119904964979351,-0.000719637567844542
292,-0.000497279005053107,-0.00100939082607547,-0.000602998299256615
296,-0.000423325550752246,-0.000855497774603322,-0.000509657785536502
300,-0.00036230791741868,-0.000731311927356122,-0.000432033701830327
304,-0.000314107114291857,-0.000629128867267926,-0.000369957735449624
308,-0.000273898218860811,-0.000546733183459501,-0.000319289812470559
312,-0.00023976749743582,-0.000478843312230694,-0.000277441191780525
316,-0.000208734426583673,-0.000420370864266177,-0.000242702297783959
320,-0.00018512591709685,-0.000371201055591228,-0.000213543302177152
324,-0.000163464345925181,-0.000328697023539887,-0.000188051052924155
328,-0.000145347143678699,-0.000291857762333578,-0.000166798884495466
332,-0.000129896533184938,-0.000259689036018587,-0.000148364454406876
336,-0.000116813649010725,-0.000232481312468759,-0.000132546549967574
340,-0.000105293465209918,-0.000208985374166996,-0.00011884162745748
344,-9.48074612521077E-005,-0.00018858688594258,-0.000106893548509948
348,-8.65161595531715E-005,-0.000170503281267082,-9.64681972474722E-005
352,-7.83972484228993E-005,-0.000154358010446043,-8.72744488660022E-005
356,-7.12541513933945E-005,-0.000140147586916436,-7.89345680273316E-005
360,-6.44187347893347E-005,-0.000127577945513549,-7.19599685777198E-005
364,-5.93704813699994E-005,-0.000116567923177513,-6.55769437154204E-005
368,-5.44163859255351E-005,-0.000106767297589716,-6.00528960709163E-005
372,-4.95702900066169E-005,-9.79217068755088E-005,-5.49978200242471E-005
376,-4.55003659029649E-005,-8.99672443658216E-005,-5.04544075528772E-005
380,-4.20717425958634E-005,-8.28054439518538E-005,-4.63675188170975E-005
384,-3.8581915480377E-005,-7.63972325398173E-005,-4.26765906892226E-005
388,-3.57574229322545E-005,-7.04888430455553E-005,-3.95877131624853E-005
392,-3.33507082448742E-005,-6.52330310633792E-005,-3.64513688517169E-005
396,-3.09110712550818E-005,-6.0292195327474E-005,-3.37728229815551E-005
400,-2.85344409770812E-005,-5.60223818659364E-005,-3.13257561016691E-005
404,-2.64692352303771E-005,-5.19922012242739E-005,-2.90230966719576E-005
408,-2.46567342632751E-005,-4.82983126189628E-005,-2.69434543737249E-005
412,-2.29907786653943E-005,-4.49584569823278E-005,-2.50657985965633E-005
416,-2.15286671827256E-005,-4.19429983226159E-005,-2.34072277967713E-005
420,-2.0019221244389E-005,-3.91725654104346E-005,-2.18303767102636E-005
424,-1.87115911546479E-005,-3.65999429730068E-005,-2.03204277368871E-005
428,-1.74565112198113E-005,-3.42479619440881E-005,-1.90412625089549E-005
432,-1.73153628254161E-005,-3.38712550916279E-005,-1.88784361100054E-005
436,-1.73130299806686E-005,-3.38616116787532E-005,-1.88758213691049E-005
440,-1.73129914542916E-005,-3.38613648918301E-005,-1.88757794605755E-005
444,-1.73129908180639E-005,-3.38613585763147E-005,-1.88757787889238E-005
448,-1.73129908075571E-005,-3.38613584146944E-005,-1.88757787781593E-005
452,-1.73129908073837E-005,-3.38613584105585E-005,-1.8875778777987E-005
456,-1.73129908073808E-005,-3.38613584104525E-005,-1.88757787779842E-005
460,-1.73129908073807E-005,-3.38613584104499E-005,-1.88757787779841E-005
